AWG,Bare Diameter (mm),Resistance / KM,Max Current (A),Single Build Diameter (mm)
6,4.115,1.2959,37,4.186
7,3.665,1.6341,30,3.731
8,3.264,2.0605,24,3.307
9,2.906,2.5981,19,2.951
10,2.588,3.2764,15,2.634
11,2.304,4.1328,12,2.35
12,2.052,5.2086,9.3,2.096
13,1.829,6.5698,7.4,1.872
14,1.628,8.282,5.9,1.674
15,1.45,10.444,4.7,1.491
16,1.29,13.172,3.7,1.331
17,1.151,16.61,2.9,1.191
18,1.024,20.943,2.3,1.062
19,0.912,26.407,1.8,0.947
20,0.813,33.292,1.5,0.851
21,0.724,41.984,1.2,0.757
22,0.654,52.939,0.92,0.676
23,0.574,66.781,0.729,0.607
24,0.511,84.198,0.577,0.541
25,0.455,106.17,0.457,0.483
26,0.404,133.86,0.361,0.432
27,0.361,168.82,0.288,0.389
28,0.32,212.87,0.226,0.348
29,0.287,268.4,0.182,0.312
30,0.254,338.5,0.142,0.277
31,0.226,426.73,0.113,0.246
32,0.203,538.25,0.091,0.224
33,0.18,678.63,0.072,0.198
34,0.16,855.75,0.056,0.178
35,0.142,1079.1,0.044,0.157
36,0.127,1360,0.035,0.142
37,0.114,1715,0.0289,0.127
38,0.102,2163,0.0228,0.114
39,0.0889,2728,0.0175,0.102
40,0.0787,3440,0.0137,0.0889
41,0.0711,4317,0.0112,0.0813
42,0.0635,5421,0.0089,0.0711
43,0.0559,7011,0.0069,0.0635
44,0.0508,8495,0.0057,0.0584
45,0.0447,10864,0.0044,0.0521
46,0.0399,13802,0.0035,0.0439
47,0.0356,17359,0.0028,0.0399
48,0.0315,22129,0.0022,0.0356
49,0.0282,27615,0.0017,0.0315
50,0.0252,34711,0.0014,0.0287
